Indicator ID,Indicator Name,Display Name,Source ID,Data Type,Transform Notebook,Frequency,AggregateType,DenominatorIndicatorID,PerCapita,MinYear
mmrlatest_gii,"Gender Inequality Index-Maternal mortality ratio (deaths per 100,000 live births)",Gender Inequality Index-Maternal mortality ratio,HDR,float,HDR_transform,,,,,
secedufemalelatest_gii,"Gender Inequality Index-Population with at least some secondary education, female (% ages 25 and older)",Gender Inequality Index-female population with secondary education,HDR,float,HDR_transform,,,,,
labourforcemalelatest_gii,"Gender Inequality Index-Labour force participation rate, male (% ages 15 and older)",Gender inequality index- male labour force participation rate,HDR,float,HDR_transform,,,,,
secedumalelatest_gii,"Gender Inequality Index-Population with at least some secondary education, male (% ages 25 and older)",Gender inequality index - male population with atleast secondary education,HDR,float,HDR_transform,,,,,
parlimentseatsfemale_gii,Gender Inequality Index-Share of seats in parliament (% held by women),Gender inequality index - women share of parliment seats,HDR,float,HDR_transform,,,,,
adolescentbirthratelatest_gii,Gender Inequality Index-Adolescent birth rate,Gender inequality index - adolescent birth rate,HDR,float,HDR_transform,,,,,
genderinequalityindexlatest_gii,Gender Inequality Index-Gender Inequality Index,Gender Inequality Index-Gender Inequality Index,HDR,float,HDR_transform,,,,,
labourforcefemalelatest_gii,"Gender Inequality Index-Labour force participation rate, female (% ages 15 and older)",Gender inequality index - female labour force participation rate,HDR,float,HDR_transform,,,,,
ruleoflawestimatevallatest_wbankinfo,Rule of Law: Estimate,World Banks Info - Rule of Law Latest Estimate Value,WBANK_INFO,float,WBANK_INFO_transform,,,,,
inequilityadjustedhdi_inequilityhdi,Inequality-adjusted HDI,Inequality-adjusted HDI,HDR,float,HDR_transform,,,,,
finantialcontributiononun_globalpi,Financial Contributions to UN Peacekeeping Missions,Financial Contributions to UN Peacekeeping Missions,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
noofinternalsecurityofficers_globalpi,"Number of Internal Security Officers and Police per 100,000 People",Number of Internal Security Officers and Police per hundred thousand People,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
noofjailedpopulation_globalpi,"Number of Jailed Population per 100,000 People",Number of Jailed Population per hundred thousand People,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
levelofviolentcrime_globalpi,Level of Violent Crime,Level of Violent Crime,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
deathsfrominternalorganisedconflict_globalpi,Deaths from Organised Conflict (Internal),Deaths from Organised Conflict (Internal),GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
externalconflicts_globalpi,"Number, Duration and Role in External Conflicts",Number Duration and Role in External Conflicts,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
noofdeathsdueexternalorganisedconflict_globalpi,Deaths from Organised Conflict (External),Number of Deaths from Organised Conflict (External),GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
relwithneighbouringcountries_globalpi,Relations with Neighbouring Countries,Relations with Neighbouring Countries,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
politicalinstability_globalpi,Political Instability,Political Instability,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
levelofperceivedcriminality_globalpi,Level of Perceived Criminality in Society,Level of Perceived Criminality in Society,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
militarisationindex_globalpi,Militarisation,MILITARISATION Vision of Humanity Indexes,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
refugeesandinternalldisplacedpeople_globalpi,Refugees and Internally Displaced People as Percentage of the Population,Refugees and Internally Displaced People as Percentage of the Population,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
impactofterrorism_globalpi,Impact of Terrorism,Impact of Terrorism,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
noofarmedpersonnel_globalpi,"Armed Services Personnel per 100,000 People",Number of Armed Services Personnel per hundred thousand People,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
violentdemonstation_globalpi,Likelihood of Violent Demonstrations,Likelihood of Violent Demonstrations,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
militaryexpenditure_globalpi,Military Expenditure as a Percentage of GDP,Military Expenditure as a Percentage of GDP,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
internalconflicts_globalpi,Number and Duration of Internal Conflicts,Number and Duration of Internal Conflicts,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
accesstosmallweapons_globalpi,Ease of Access to Small Arms and Light Weapons,Ease of Access to Small Arms and Light Weapons,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
publicsectormanagementinstitutions_cpiapsmi,CPIA Public sector management and institutions,CPIA Public Sector Management and institution clusters,CPIA_PSMI,float,CPIA_transform,,,,,
socialinclusionequityclusteraverage_cpiasiea,CPIA policies for social inclusion/equity cluster average,CPIA policies for social inclusion/equity cluster average,CPIA_SIEA,float,CPIA_transform,,,,,
literacyratefemale_cpialrf,Literacy Rate Female (%),Percent of females who are literate in a given country,CPIA_LRF,float,CPIA_transform,,,,,
literacyratemale_cpialrm,Literacy Rate Male (%),Percent of males who are literate in a given country,CPIA_LRM,float,CPIA_transform,,,,,
giniindex_cpiagi,GINI index (World Bank estimate),GINI index (World Bank estimate),CPIA_GI,float,CPIA_transform,,,,,
malelaborforceparticipationrate_cpiamlpr,"Labor Force Participation Rate (%), Male",Percentage of male population in the labor force.,CPIA_MLPR,float,CPIA_transform,,,,,
laborforcewithadvanced education_cpialfae,Labor force with advanced education (% of total working-age population with advanced education),Percent of total labor force with an advanced education degree,CPIA_LFAE,float,CPIA_transform,,,,,
femalelaborforceparticipationrate_cpiaflfpr,"Labor Force Participation Rate (%), Female","Labor Force Participation Rate (%), Female",CPIA_FLFPR,float,CPIA_transform,,,,,
unemploymentyouthtotal_cpiauyt,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Unemployment youth total,CPIA_UYT,float,CPIA_transform,,,,,
ruleoflawpercentilerank_cpiarlpr,Rule of Law: Percentile Rank,Rule of Law: Percentile Rank,CPIA_RLPR,float,CPIA_RLPR_transform,,,,,
governmenteffectivenessestimate_wbge,Government Effectiveness: Estimate,Government Effectiveness Estimate,WBANK_INFO,float,WBANK_INFO_transform,,,,,
governmenteffectivenessrank_wbge,Government Effectiveness: Percentile Rank,Government Effectiveness Rank,WBANK_INFO,float,WBANK_INFO_transform,,,,,
voiceandaccountabilityestimate_wbva,Voice and Accountability (estimate),Voice and Accountability: Estimate,WBANK_INFO,float,WBANK_INFO_transform,,,,,
voiceandaccountabilityrank_wbva,Country Fragility,voice and Accountability: Rank,WBANK_INFO,float,WBANK_INFO_transform,,,,,
homicidesperhundredthousandpeople_globalpi,"Number of Homicides per 100,000 People",Homicides per hundred thousand people,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
weaponstransfers_globalpi,"Volume of Transfers of Major Conventional Weapons, as Supplier (Exports) per 100,000 People",Weapons transfers,GLOBAL_PI,float,GLOBAL_PI_transform,,,,,
